tickers,shares,,,,,
300676,4000,,,,,
090460,9805,,,,,
BEL,366856,,,,,
BHARATFORG,116626,,,,,
BHEL,375544,,,,,
BPCL,365427,,,,,
BHARTIARTL,885401,,,,,
INDUSTOWER,466948,,,,,
BHG,29885,,,,,
BHP,1143251,,,,,
BHP,808657,,,,,
3048,50200,,,,,
BID,136807,,,,,
BVT,125259,,,,,
BSS,4125,,,,,
BIG,14278,,,,,
BIG,3533,,,,,
BYG,64392,,,,,
GBF,8961,,,,,
BILI A,29824,,,,,
BILI,60258,,,,,
9626,346,,,,,
BILL,29274,,,,,
BILL,72611,,,,,
BIMAS,170699,,,,,
053030,8291,,,,,
005180,2977,,,,,
BIN,184631,,,,,
BIO,8477,,,,,
TECH,15344,,,,,
BIOCON,153922,,,,,
BIIB,58732,,,,,
BHVN,17351,,,,,
BMRN,72427,,,,,
BIM,16111,,,,,
BIOT,22831,,,,,
4107,22000,,,,,
BSOFT,56225,,,,,
3665,42616,,,,,
BJ,50192,,,,,
BKBR3,65544,,,,,
BKW,6556,,,,,
BKH,23834,,,,,
BKI,59841,,,,,
BLKB,18424,,,,,
BB,201245,,,,,
BL,18976,,,,,
BKL,4988,,,,,
BLK,56836,,,,,
BXMT,49812,,,,,
BE,33392,,,,,
BLOOM,1343300,,,,,
BLMN,32422,,,,,
BCOR,16400,,,,,
BLU,432314,,,,,
002382,20400,,,,,
BLUESTARCO,20712,,,,,
BLUE,24073,,,,,
300058,73500,,,,,
BPMC,21036,,,,,
BSL,206307,,,,,
4694,7100,,,,,
BCPT,200959,,,,,
138930,103600,,,,,
BNP,419880,,,,,
BOAS3,189900,,,,,
BEI.UN,14268,,,,,
BOBNN,2817,,,,,
2588,79100,,,,,
2388,1381700,,,,,
BOY,65682,,,,,
000725,850900,,,,,
200725,512200,,,,,
BA,207763,,,,,
000415,154100,,,,,
BOI,2097,,,,,
BCC,14100,,,,,
BOKF,15340,,,,,
BOL,122422,,,,,
BOL,383598,,,,,
BOLSAA,178300,,,,,
BBD.A,7478,,,,,
BBD.B,819003,,,,,
BBTC,6247,,,,,
BONAV A,19776,,,,,
