tickers,shares,,,,,
NUS,18810,,,,,
NUAN,113007,,,,,
NUE,118282,,,,,
NUF,104176,,,,,
NUHCM,14263,,,,,
NTNX,72157,,,,,
NTR,223651,,,,,
NUVA,19348,,,,,
NVT,57249,,,,,
NVDA,229244,,,,,
NVR,1328,,,,,
659,538500,,,,,
NXPI,108483,,,,,
NYF,62423,,,,,
ORLY,27269,,,,,
OI,58302,,,,,
TELEC,61412,,,,,
OSH,33653,,,,,
6877,3500,,,,,
1802,286600,,,,,
OBEROIRLTY,34884,,,,,
4174,41014,,,,,
4733,5300,,,,,
4684,26100,,,,,
OERL,74375,,,,,
OCDO,191293,,,,,
OXY,327718,,,,,
OCY,18726,,,,,
OGC,248586,,,,,
OII,33017,,,,,
OCA,182960,,,,,
000046,125400,,,,,
010060,6924,,,,,
OCI,33889,,,,,
9007,119800,,,,,
ODPV3,92000,,,,,
ODP,19172,,,,,
POST,12820,,,,,
002607,53900,,,,,
OPI,16401,,,,,
600583,112800,,,,,
002456,59800,,,,,
OFX,100137,,,,,
8361,18700,,,,,
OGE,79406,,,,,
OGKB,12702000,,,,,
5218,5800,,,,,
9936,3700,,,,,
OGDC,177400,,,,,
ONGC,1123602,,,,,
OIL,93482,,,,,
ORL,498716,,,,,
OSH,821021,,,,,
6282,9460,,,,,
3182,11100,,,,,
8392,4900,,,,,
3861,325900,,,,,
5959,14400,,,,,
5122,6200,,,,,
7994,31900,,,,,
8609,52400,,,,,
6703,46400,,,,,
9511,14512,,,,,
OKTA,45026,,,,,
6103,10100,,,,,
1833,11900,,,,,
4221,2400,,,,,
8217,11800,,,,,
O32,248000,,,,,
ODFL,38237,,,,,
OMU,1455121,,,,,
OMU,243171,,,,,
ONB,74388,,,,,
ORI,104940,,,,,
OLN,61444,,,,,
226950,3549,,,,,
OLLI,20331,,,,,
7733,415800,,,,,
OMGE3,39615,,,,,
OHI,87275,,,,,
OBL,94211,,,,,
OMN,66723,,,,,
OMCL,16246,,,,,
OMC,83646,,,,,
6645,75200,,,,,
OMV,57514,,,,,
ON,163815,,,,,
ONCO,17118,,,,,
OGS,19235,,,,,
3290,50,,,,,
OCFT,17138,,,,,
OMF,27169,,,,,
4743,106000,,,,,
OKE,173545,,,,,
ONEX,29592,,,,,
4528,175500,,,,,
7414,4800,,,,,
ONTEX,29502,,,,,
8016,34000,,,,,
OML,165108,,,,,
ORDS,302832,,,,,
OPAP,71834,,,,,
OPCE,26887,,,,,
3926,4800,,,,,
3288,27400,,,,,
LPRO,34708,,,,,
OTEX,107796,,,,,
OPK,140140,,,,,
603833,5800,,,,,
2389,4895,,,,,
6914,13600,,,,,
OPT,93159,,,,,
3694,8298,,,,,
138080,2511,,,,,
6235,4100,,,,,
2340,91312,,,,,
OPUS,85838,,,,,
4716,12000,,,,,
ORCL,713438,,,,,
OFSS,9311,,,,,
OBEL,9315,,,,,
OPL,271666,,,,,
ORA,744799,,,,,
OC,21054,,,,,
ORAS,3826,,,,,
ORBIA*,362994,,,,,
002701,59500,,,,,
6368,1800,,,,,
ORI,163394,,,,,
8585,178500,,,,,
ORIENTELEC,53418,,,,,
600811,92500,,,,,
600958,143800,,,,,
3958,296000,,,,,
2329,120605,,,,,
4661,75000,,,,,
600637,83500,,,,,
1786,31300,,,,,
1710,236000,,,,,
ORWE,227675,,,,,
ORG,700164,,,,,
ORI-F,389400,,,,,
OKDBV,39257,,,,,
271560,8198,,,,,
OEC,19528,,,,,
001800,8252,,,,,
ORNBV,43312,,,,,
8591,478460,,,,,
8954,751,,,,,
ORK,305200,,,,,
ORA,13865,,,,,
ORA,2610,,,,,
3983,1142,,,,,
ORE,120988,,,,,
ORA,363449,,,,,
ORP,19704,,,,,
ORSTED,73228,,,,,
OFIX,6600,,,,,
9532,146100,,,,,
4187,4500,,,,,
4046,5800,,,,,
5449,6500,,,,,
5726,4100,,,,,
6644,13000,,,,,
OSB,148531,,,,,
039200,7991,,,,,
6136,30200,,,,,
OSK,25547,,,,,
OSIS,5400,,,,,
OR,59916,,,,,
OSP-F,378100,,,,,
OSR,11405,,,,,
048260,3945,,,,,
OTIS,167636,,,,,
OTKAR,3623,,,,,
OTP,92186,,,,,
4768,37700,,,,,
4578,168100,,,,,
OTTR,14230,,,,,
007310,454,,,,,
TS0U,640075,,,,,
300315,77300,,,,,
OUT,52312,,,,,
OUT1V,123367,,,,,
MOCORP,228472,,,,,
2427,35900,,,,,
300595,14999,,,,,
O39,1381038,,,,,
OVV,70469,,,,,
OVV,27172,,,,,
OW,3210,,,,,
OC,43439,,,,,
OXM,6147,,,,,
OXIG,18514,,,,,
OYAKC,281629,,,,,
9755,4800,,,,,
OZL,121150,,,,,
TKIM,430000,,,,,
PCAR,131068,,,,,
2343,1483000,,,,,
PACB,68375,,,,,
PEB,167946,,,,,
7250,13800,,,,,
5541,12400,,,,,
PPBI,28835,,,,,
601099,164900,,,,,
1382,254000,,,,,
PCRX,15419,,,,,
3950,3600,,,,,
PKG,36517,,,,,
PGH,65730,,,,,
PACW,42051,,,,,
PADINI,151000,,,,,
PAGEIND,2559,,,,,
PAGE,115697,,,,,
PD,25650,,,,,
PAGS,69536,,,,,
POL,53810,,,,,
PPL,260712,,,,,
PSO,171596,,,,,
PWON,9245100,,,,,
2726,8400,,,,,
PAL,2713,,,,,
PHDC,548521,,,,,
PANW,36963,,,,,
PLMR,8197,,,,,
8283,11100,,,,,
PAAS,82934,,,,,
2481,127800,,,,,
028670,75465,,,,,
7532,208400,,,,,
2328,142000,,,,,
6752,836959,,,,,
PNDORA,38413,,,,,
PNDX B,33515,,,,,
000629,228000,,,,,
PNLF,7071800,,,,,
PZZA,12044,,,,,
4966,26000,,,,,
PAR,65623,,,,,
034230,15864,,,,,
PAG,88196,,,,,
7817,14000,,,,,
PGRE,66468,,,,,
PXT,48843,,,,,
PK,87745,,,,,
140860,1631,,,,,
4666,41300,,,,,
PH,49953,,,,,
PKI,55816,,,,,
C2PU,138286,,,,,
PARAUCO,209058,,,,,
PSN,7813,,,,,
PTNR,39795,,,,,
PGHN,8819,,,,,
091700,18924,,,,,
2168,6700,,,,,
PATK,7809,,,,,
PAT,14852,,,,,
PDCO,31574,,,,,
PTEN,63963,,,,,
327,222000,,,,,
PAYX,129332,,,,,
PAYC,19404,,,,,
PCTY,14334,,,,,
PYPL,456315,,,,,
PZOL,3400,,,,,
PBF,39302,,,,,
7618,10920,,,,,
8,1820112,,,,,
8044,22587,,,,,
600728,23100,,,,,
PDCE,41646,,,,,
PEAB B,81007,,,,,
263750,2348,,,,,
PSON,281978,,,,,
PEB,47261,,,,,
PGSUS,11507,,,,,
PEGA,14509,,,,,
4938,803954,,,,,
6491,15000,,,,,
9996,158000,,,,,
PTON,99965,,,,,
PPL,220158,,,,,
PDL,97935,,,,,
PENN,61259,,,,,
PNTG,9938,,,,,
PNN,160499,,,,,
PFSI,13324,,,,,
PMT,35054,,,,,
PAG,11200,,,,,
1893,108800,,,,,
PNR,66934,,,,,
PENTA,219300,,,,,
PEN,12570,,,,,
1339,3410000,,,,,
PBCT,169061,,,,,
603000,27700,,,,,
PPH,445588,,,,,
PEP,537491,,,,,
4587,32400,,,,,
087010,3982,,,,,
2798,295000,,,,,
PRN,228452,,,,,
002624,42950,,,,,
PRFT,12069,,,,,
PFGC,51598,,,,,
PKI,44719,,,,,
RI,80768,,,,,
PPT,19584,,,,,
PRGO,54574,,,,,
PRU,432402,,,,,
PSN,126124,,,,,
PERSISTENT,16734,,,,,
2181,61600,,,,,
PRSP,51895,,,,,
PGAS,3567300,,,,,
LSIP,725400,,,,,
PETZ3,61900,,,,,
PETKM,410397,,,,,
PRIO3,46555,,,,,
BRDT3,273548,,,,,
857,8090000,,,,,
PFC,86220,,,,,
PBR,129754,,,,,
PBR.A,195307,,,,,
PETR4,1485992,,,,,
PETR3,1106443,,,,,
PCHEM,1070189,,,,,
PETDAG,133200,,,,,
PETGAS,217800,,,,,
PETRONET,262168,,,,,
POG,1043841,,,,,
PETS,170753,,,,,
PFV,2591,,,,,
PFE,2161098,,,,,
PFIZER,5399,,,,,
PCG,515575,,,,,
PGE,252332,,,,,
2929,9100,,,,,
PHM,4999,,,,,
300725,4200,,,,,
4162,17038,,,,,
6446,67648,,,,,
PHA,1284,,,,,
6452,10673,,,,,
300759,14442,,,,,
3759,45100,,,,,
005690,20513,,,,,
2457,193000,,,,,
TABAK,235,,,,,
PM,601879,,,,,
PSX,170808,,,,,
8299,56000,,,,,
PHNX,198046,,,,,
PHOE,47581,,,,,
PHOENIXLTD,24155,,,,,
PHOR,33457,,,,,
PHOR,2689,,,,,
DOC,74747,,,,,
PIIND,25266,,,,,
4337,2500,,,,,
PIA,59240,,,,,
2328,2516330,,,,,
PIK,129465,,,,,
PCTN,183531,,,,,
PIDILITIND,63584,,,,,
PLL,1547,,,,,
PLL,569358,,,,,
PDM,44063,,,,,
7956,39960,,,,,
1729,38000,,,,,
PLS,972579,,,,,
PPC,18506,,,,,
7846,11600,,,,,
PDD,112465,,,,,
000001,508200,,,,,
1833,144327,,,,,
601318,504017,,,,,
2318,2118966,,,,,
601666,125900,,,,,
PNFP,27235,,,,,
PNI,34594,,,,,
PNW,45171,,,,,
PINS,156968,,,,,
5988,8700,,,,,
PXD,79277,,,,,
PIOH,243648,,,,,
PIPR,6088,,,,,
TPEIR,93220,,,,,
PEL,51271,,,,,
PIRC,191354,,,,,
3227,39000,,,,,
LKOD,142298,,,,,
TERRA13,317386,,,,,
PLANB-F,280300,,,,,
PLNT,30663,,,,,
PLT,12746,,,,,
PTM,145485,,,,,
PLAZ B,18691,,,,,
PTEC,109303,,,,,
MALLPLAZA,137445,,,,,
TEL,40800,,,,,
9945,8300,,,,,
PLXS,10120,,,,,
PLUG,158850,,,,,
PS,45851,,,,,
PLUS,37933,,,,,
PNBHOUSING,27969,,,,,
PNC,163689,,,,,
PNM,31309,,,,,
PBH,53937,,,,,
4927,26200,,,,,
600155,25900,,,,,
PII,21665,,,,,
3657,10300,,,,,
PKN,122160,,,,,
PGN,643349,,,,,
600048,284799,,,,,
119,952000,,,,,
6049,47200,,,,,
POLYCAB,8364,,,,,
POLY,135893,,,,,
PNV,214784,,,,,
PLP,80420,,,,,
PLZL,16780,,,,,
PLZL,1823,,,,,
POOL,15322,,,,,
103140,5496,,,,,
BPOP,37146,,,,,
POS,1992,,,,,
PAH3,59085,,,,,
POR,32994,,,,,
PSSA3,33872,,,,,
POS,77300,,,,,
PKX,528,,,,,
003670,10274,,,,,
022100,20195,,,,,
047050,16152,,,,,
005490,25734,,,,,
8114,42169,,,,,
POST,24011,,,,,
1658,3591000,,,,,
PST,171118,,,,,
PNL,175363,,,,,
PCH,24173,,,,,
9904,1016524,,,,,
3813,672000,,,,,
6,517000,,,,,
601669,266200,,,,,
POW,217641,,,,,
PFC,342250,,,,,
POWERGRID,839451,,,,,
POWI,21654,,,,,
9909,68000,,,,,
1238,471000,,,,,
6239,328000,,,,,
PKO,346545,,,,,
PZU,221338,,,,,
5904,26450,,,,,
PTPP,528300,,,,,
PPB,253640,,,,,
PPD,59475,,,,,
PPG,91774,,,,,
PPL,298506,,,,,
PRAA,16891,,,,,
PRAH,24694,,,,,
1913,190400,,,,,
PSK,89783,,,,,
PGEN,19800,,,,,
PCT,360680,,,,,
PSL-F,188100,,,,,
PINC,45275,,,,,
8956,388,,,,,
PMV,28706,,,,,
PBH,13410,,,,,
2912,219137,,,,,
2855,321799,,,,,
7246,42700,,,,,
PMETAL,717480,,,,,
3254,8700,,,,,
PBH,17800,,,,,
PRESTIGE,32922,,,,,
4290,30000,,,,,
PVG,68690,,,,,
PSMT,8000,,,,,
2281,10200,,,,,
PHP,545449,,,,,
4915,184000,,,,,
OXMU,383400,,,,,
PRI,14556,,,,,
PRMW,54567,,,,,
PRIM,16200,,,,,
2511,412050,,,,,
PFG,108686,,,,,
PME,14264,,,,,
PRA,18116,,,,,
PG,941769,,,,,
PGHL,3042,,,,,
PRG,24054,,,,,
PRGS,15900,,,,,
PGR,225966,,,,,
PGNY,10141,,,,,
PLD,285874,,,,,
FIBRAPL14,172627,,,,,
PRS,127116,,,,,
PINFRA*,82402,,,,,
7893,7600,,,,,
PFPT,21202,,,,,
PRO,13713,,,,,
CASH,110532,,,,,
PSG,98413,,,,,
PSM,57795,,,,,
PB,34443,,,,,
808,471000,,,,,
PRX,169217,,,,,
4298,11100,,,,,
PRLB,9837,,,,,
PFG,103065,,,,,
PFS,25325,,,,,
PROX,55968,,,,,
603605,4500,,,,,
PRU,153868,,,,,
PRU,1014098,,,,,
PSH-F,195300,,,,,
PS-F,210700,,,,,
PRY,97685,,,,,
PSB,7279,,,,,
PSG,54533,,,,,
PSPN,17462,,,,,
PTC,41398,,,,,
PTC,76646,,,,,
PTCT,21807,,,,,
PTG-F,525300,,,,,
Foreign,528181,,,,,
PTTGC-F,778515,,,,,
Foreign,5609880,,,,,
Local,6029230,,,,,
PPC,45298,,,,,
PEG,196085,,,,,
PSA,58355,,,,,
PUB,88829,,,,,
PHM,108422,,,,,
PUM,35700,,,,,
PNB,329505,,,,,
PSTG,97770,,,,,
PGOLD,360980,,,,,
PRTC,58134,,,,,
PPH,257432,,,,,
PVH,28599,,,,,
PVR,14741,,,,,
PZC,67221,,,,,
1478,144000,,,,,
QTWO,18985,,,,,
QAN,277374,,,,,
3040,15883,,,,,
QAMC,927410,,,,,
QEWS,195993,,,,,
QFLS,179737,,,,,
QGTS,992348,,,,,
QATI,615429,,,,,
QIIK,272428,,,,,
QIBK,459438,,,,,
QNBK,1731799,,,,,
QBE,585327,,,,,
QIA,87260,,,,,
603027,13900,,,,,
QQ.,204383,,,,,
688139,24337,,,,,
6198,373000,,,,,
300001,39200,,,,,
1122,194000,,,,,
2352,810000,,,,,
QL,473590,,,,,
3034,5400,,,,,
QRVO,45493,,,,,
QTCOM,7315,,,,,
QTS,23722,,,,,
QDT,12082,,,,,
KWR,4869,,,,,
QCOM,436695,,,,,
QUAL3,89700,,,,,
Q*,68064,,,,,
QH-F,5299983,,,,,
QLYS,12691,,,,,
2382,1081450,,,,,
PWR,55178,,,,,
6188,59000,,,,,
300149,36000,,,,,
QUB,563727,,,,,
QD,8166,,,,,
QBR.B,64851,,,,,
603236,2600,,,,,
QUESS,23431,,,,,
DGX,52600,,,,,
QDEL,14736,,,,,
QLT,642767,,,,,
ALQURAIN,225597,,,,,
QRTEA,143384,,,,,
QTT,11645,,,,,
RCM,40814,,,,,
2380,78072,,,,,
RDN,72669,,,,,
6176,171314,,,,,
RADICO,28710,,,,,
2547,352440,,,,,
RDUS,16611,,,,,
BSL,343000,,,,,
RWAY,33424,,,,,
RADL3,434000,,,,,
RBI,56949,,,,,
RAIN,136140,,,,,
RAIVV,40003,,,,,
1926,14100,,,,,
6379,20500,,,,,
RAJESHEXPO,46732,,,,,
RAKPROP,603454,,,,,
4384,8800,,,,,
4755,321000,,,,,
RALLIS,42233,,,,,
RAL,7866,,,,,
RL,17438,,,,,
RALS,1190900,,,,,
RMBS,40461,,,,,
RAMCOCEM,48913,,,,,
RMS,266188,,,,,
RMLI,2924,,,,,
RHC,69901,,,,,
RMI,270990,,,,,
RAPT4,71064,,,,,
RAND,43965,,,,,
RRC,77672,,,,,
RNK,60828,,,,,
RPD,19713,,,,,
Foreign,279700,,,,,
THANI-F,670500,,,,,
RAT,20222,,,,,
RAA,1247,,,,,
RATNAMANI,6147,,,,,
RATO B,70826,,,,,
RBX,55550,,,,,
RAVN,13100,,,,,
RJF,48600,,,,,
RAYMOND,8316,,,,,
RYN,47357,,,,,
RTX,553177,,,,,
688002,12578,,,,,
1337,1489000,,,,,
ROLL,9170,,,,,
RBLBANK,149852,,,,,
3228,20000,,,,,
REA,20369,,,,,
,,,,,,
RLGY,41590,,,,,
RP,33834,,,,,
2379,189420,,,,,
O,146227,,,,,
RETA,10554,,,,,
RECLTD,389611,,,,,
4532,120000,,,,,
RB.,244367,,,,,
REC,39332,,,,,
6098,525527,,,,,
603650,25900,,,,,
REE,169691,,,,,
RRR,25354,,,,,
601828,52250,,,,,
1528,176455,,,,,
RBL,74363,,,,,
1622,238000,,,,,
RDOR3,58227,,,,,
RDI,88852,,,,,
RDF,2117381,,,,,
RDFN,37136,,,,,
REDINGTON,102261,,,,,
RDW,86450,,,,,
RWT,38700,,,,,
REH,101224,,,,,
RBC,14982,,,,,
REG,65847,,,,,
REGN,37624,,,,,
RGNX,14409,,,,,
RA,86300,,,,,
RF,378415,,,,,
REG,27703,,,,,
RRL,188178,,,,,
RNI,55639,,,,,
RGA,27052,,,,,
RIT1,59052,,,,,
RELAXO,24861,,,,,
RLAY,17206,,,,,
4708,13700,,,,,
RIGD,291973,,,,,
RELIANCE,667958,,,,,
NAM-INDIA,75895,,,,,
RS,25779,,,,,
RWC,295795,,,,,
8876,39253,,,,,
REL,724494,,,,,
REM,214451,,,,,
RCO,10102,,,,,
RENE,129114,,,,,
RNR,21087,,,,,
RNST,23837,,,,,
RNO,71387,,,,,
6723,298307,,,,,
REGI,16502,,,,,
3941,78400,,,,,
RSW,12719,,,,,
9519,18200,,,,,
RCII,17400,,,,,
RTO,748003,,,,,
RGEN,20714,,,,,
REY,8923,,,,,
REP,538042,,,,,
RBCAA,7626,,,,,
RSG,80542,,,,,
REZI,52886,,,,,
RES,120171,,,,,
RMD,55800,,,,,
RSG,410631,,,,,
8308,870406,,,,,
4681,23800,,,,,
3156,7700,,,,,
QSR,116402,,,,,
RBD,6016,,,,,
RTN,290865,,,,,
RESURS,47568,,,,,
RET,3893,,,,,
ROIC,40737,,,,,
8167,12800,,,,,
RPAI,77698,,,,,
RLO,59789,,,,,
REG1V,8660,,,,,
RVMD,16007,,,,,
RXL,112808,,,,,
REXR,49609,,,,,
RXN,44570,,,,,
1515,43000,,,,,
REYN,17178,,,,,
218410,5101,,,,,
RH,6569,,,,,
RHBBANK,683350,,,,,
RHM,15574,,,,,
6272,9280,,,,,
RHIM,11261,,,,,
5512,208000,,,,,
RICHTER,51601,,,,,
4968,20000,,,,,
7752,252300,,,,,
8566,4400,,,,,
RIEN,1063,,,,,
7445,51000,,,,,
RMV,366408,,,,,
6462,3200,,,,,
7734,6600,,,,,
4220,15200,,,,,
4526,5700,,,,,
RNG,30741,,,,,
8200,6700,,,,,
RILBA,11200,,,,,
5947,13300,,,,,
RIO,146226,,,,,
RIO,420556,,,,,
REI.UN,117010,,,,,
RIPLEY,580437,,,,,
300118,22300,,,,,
002146,56200,,,,,
6413,15900,,,,,
4714,36600,,,,,
RBA,41251,,,,,
2349,202257,,,,,
AP4,211900,,,,,
1010,569851,,,,,
603218,20600,,,,,
RCS,37870,,,,,
RLI,14199,,,,,
RLJ,62664,,,,,
1098,120000,,,,,
RHI,43219,,,,,
RBT,277,,,,,
RLC,753861,,,,,
RRHI,211970,,,,,
Bearer,13722,,,,,
ROG,266272,,,,,
2910,8000,,,,,
RCKT,14024,,,,,
ROK,45215,,,,,
ROCK B,2254,,,,,
RCI.B,137053,,,,,
ROG,6681,,,,,
6963,30700,,,,,
4527,35200,,,,,
2266,6200,,,,,
ROKU,42399,,,,,
6789,9200,,,,,
ROL,90521,,,,,
RR.,2947116,,,,,
000517,40800,,,,,
002493,44600,,,,,
3301,182500,,,,,
4414,168000,,,,,
ROP,40307,,,,,
6323,3900,,,,,
ROSN,416548,,,,,
ROSN,3288,,,,,
ROST,136552,,,,,
RSTI,10882193,,,,,
RTKM,423403,,,,,
ROTH,9000,,,,,
ROR,323070,,,,,
4680,18200,,,,,
RBP,56779,,,,,
RY,550554,,,,,
NWG,1779386,,,,,
RCL,77647,,,,,
RDSA,1597890,,,,,
RDSB,1440734,,,,,
RGLD,24656,,,,,
8179,9900,,,,,
RMG,344804,,,,,
RBREW,21039,,,,,
RPRX,126932,,,,,
6572,8948,,,,,
RPM,50664,,,,,
RPT,37104,,,,,
3445,2000,,,,,
RSA,401148,,,,,
RRTL,13568,,,,,
RUI,34908,,,,,
9945,404688,,,,,
2915,151960,,,,,
RAIL3,474916,,,,,
1808,129600,,,,,
RFF,122836,,,,,
RUSHA,14250,,,,,
HYDR,48994242,,,,,
RUS,20671,,,,,
RWE,248837,,,,,
R,19179,,,,,
RYM,150981,,,,,
RHP,18841,,,,,
5851,8200,,,,,
8084,18200,,,,,
7453,86870,,,,,
8140,9200,,,,,
8068,7000,,,,,
2292,7500,,,,,
SPI,16526,,,,,
SPGI,93424,,,,,
101490,4240,,,,,
SANT,18677,,,,,
STBA,14759,,,,,
003570,11365,,,,,
064960,3039,,,,,
012750,7048,,,,,
097780,98155,,,,,
010950,15014,,,,,
2471,21565,,,,,
SAC,1346692,,,,,
178,455995,,,,,
SAAB B,34166,,,,,
M1GU,589600,,,,,
SBRA,75408,,,,,
SABR,119096,,,,,
9990,6500,,,,,
FALABELLA,354083,,,,,
SCYR,133626,,,,,
SAFE,6982,,,,,
SAFE,73111,,,,,
SAFT,5484,,,,,
SAF,125113,,,,,
9900,6500,,,,,
SAGA B,65109,,,,,
SAGA PREF,35999,,,,,
SAGA D,3641,,,,,
SGE,408103,,,,,
SAGE,18720,,,,,
MIC,14498,,,,,
2310,141710,,,,,
SAIA,9664,,,,,
9536,8800,,,,,
600104,238699,,,,,
SAIL,32490,,,,,
601058,68100,,,,,
SPM,195818,,,,,
7581,7900,,,,,
4078,4400,,,,,
9039,3000,,,,,
4633,17900,,,,,
1377,10300,,,,,
CRM,340054,,,,,
SALFACORP,196211,,,,,
WBD,84818,,,,,
SBH,43100,,,,,
SALM,19300,,,,,
SFER,24532,,,,,
SZG,15434,,,,,
000250,4904,,,,,
005680,4528,,,,,
SAMART-F,941500,,,,,
1090,381364,,,,,
001470,54342,,,,,
004690,1099,,,,,
SBB B,376410,,,,,
SBB D,54795,,,,,
1604,121600,,,,,
SAMPO,197112,,,,,
1910,480596,,,,,
207940,4989,,,,,
028260,33089,,,,,
029780,11716,,,,,
SMSN,35882,,,,,
009150,20755,,,,,
005935,422123,,,,,
005930,840022,,,,,
028050,69484,,,,,
000815,3070,,,,,
000810,10980,,,,,
010140,187836,,,,,
032830,26035,,,,,
001360,20527,,,,,
006405,626,,,,,
006400,20212,,,,,
018260,12876,,,,,
016360,22358,,,,,
3244,9600,,,,,
3459,96,,,,,
001820,3429,,,,,
145990,1042,,,,,
000070,2219,,,,,
7322,7580,,,,,
SMC,135080,,,,,
FB,271770,,,,,
2659,5600,,,,,
8097,21900,,,,,
8381,60300,,,,,
600703,125100,,,,,
SAFM,7310,,,,,
SFR,63961,,,,,
1928,960000,,,,,
SAND,419871,,,,,
SASR,17780,,,,,
3228,7200,,,,,
8130,21700,,,,,
300454,4500,,,,,
038540,12992,,,,,
6707,8200,,,,,
1961,18400,,,,,
6417,15900,,,,,
8018,11500,,,,,
5932,8200,,,,,
9065,23600,,,,,
SLM,656460,,,,,
SANM,22552,,,,,
SNN,49375,,,,,
SANOFI,2846,,,,,
SAN,422252,,,,,
6584,8600,,,,,
SAA1V,24619,,,,,
002216,25600,,,,,
8136,19892,,,,,
8150,8600,,,,,
Foreign,3900900,,,,,
002110,79600,,,,,
SNT,14925,,,,,
SPL,10984,,,,,
SC,26531,,,,,
4536,144800,,,,,
STBP3,229523,,,,,
STO,742118,,,,,
5929,69100,,,,,
631,356000,,,,,
600031,214146,,,,,
2206,214000,,,,,
4471,3400,,,,,
6516,3800,,,,,
9052,5081,,,,,
5481,6800,,,,,
SMTO3,67100,,,,,
SAP,434957,,,,,
SPNS,10659,,,,,
SAP,191765,,,,,
2501,36800,,,,,
SAPNRG,5008900,,,,,
SAP,87530,,,,,
TOWR,8893600,,,,,
SAR,9960,,,,,
SRS,179414,,,,,
SRPT,29805,,,,,
SARKY,66510,,,,,
SRT3,13716,,,,,
DIM,8968,,,,,
SAS,1248427,,,,,
SASA,52573,,,,,
SOL,215969,,,,,
6287,7600,,,,,
S58,242700,,,,,
6004,14408,,,,,
2020,67061,,,,,
1211,159484,,,,,
2222,974327,,,,,
2010,350352,,,,,
1060,361999,,,,,
3030,26459,,,,,
2040,12356,,,,,
2230,14736,,,,,
5110,315645,,,,,
4031,43312,,,,,
2250,78195,,,,,
2350,278683,,,,,
2070,23425,,,,,
4040,22688,,,,,
4020,40611,,,,,
4210,17939,,,,,
7010,232118,,,,,
2270,6214,,,,,
BFS,5132,,,,,
SVS,49738,,,,,
4167,77000,,,,,
2050,100923,,,,,
4887,16000,,,,,
4726,3600,,,,,
SBAC,42919,,,,,
SBANK,39235,,,,,
SBER,138263,,,,,
SBRCY,622780,,,,,
SBER,909651,,,,,
SBICARD,68332,,,,,
8473,95440,,,,,
SBILIFE,167320,,,,,
SBMO,60710,,,,,
2384,4400,,,,,
101060,14389,,,,,
SCL,31347,,,,,
SHOT,58544,,,,,
STG,21715,,,,,
SCSC,8411,,,,,
SCATC,42638,,,,,
SCG,2067630,,,,,
SHA,25418,,,,,
SCHAEFFLER,2867,,,,,
SCHA,34112,,,,,
SCHB,36710,,,,,
Registered,7014,,,,,
SCHP,16217,,,,,
SLB,546795,,,,,
SU,203753,,,,,
SNDR,21826,,,,,
SBO,5345,,,,,
SCHL,10900,,,,,
SCHO,4587,,,,,
SDR,41680,,,,,
SDGR,11301,,,,,
SWTQ,564,,,,,
SWM,10778,,,,,
SAIC,21430,,,,,
SCIENTX,313200,,,,,
SGMS,21085,,,,,
1789,133245,,,,,
298060,9223,,,,,
SCR,62221,,,,,
STNG,19766,,,,,
SMG,16491,,,,,
G24,39727,,,,,
7735,13800,,,,,
9719,15900,,,,,
2351,49000,,,,,
600061,74300,,,,,
600886,169500,,,,,
CKH,6707,,,,,
STX,83846,,,,,
SGEN,49467,,,,,
001430,3350,,,,,
000750,201370,,,,,
SEE,58409,,,,,
SLK,57576,,,,,
SEARL,48671,,,,,
SEAS,18937,,,,,
1030,702038,,,,,
601155,55900,,,,,
,,,,,,
,,,,,,
,,,,,,
SK,4634,,,,,
004490,3049,,,,,
9735,77987,,,,,
SECT B,9925,,,,,
YSN,527,,,,,
SECU B,128038,,,,,
SECB,156060,,,,,
096530,5290,,,,,
SEK,138420,,,,,
1810,52491,,,,,
6460,71700,,,,,
SGRO,469341,,,,,
SEIC,41929,,,,,
9024,86788,,,,,
8061,800,,,,,
4548,12300,,,,,
6724,107900,,,,,
8050,7400,,,,,
9076,52300,,,,,
3569,14200,,,,,
SKBNK,330447,,,,,
4204,147200,,,,,
1928,225100,,,,,
3309,1141,,,,,
4212,23100,,,,,
4228,5500,,,,,
SHV,43244,,,,,
SEM,40207,,,,,
SIGI,21834,,,,,
SLARL,60221,,,,,
SEM,7423,,,,,
U96,317431,,,,,
S51,2533537,,,,,
SMGR,1111700,,,,,
SCC,367836,,,,,
SRE,112730,,,,,
SMTC,24764,,,,,
2450,114000,,,,,
ASAI3,63121,,,,,
SXYDA,39951,,,,,
SNR,149147,,,,,
9069,50000,,,,,
ST,57892,,,,,
8714,86400,,,,,
SXT,15197,,,,,
6732,10000,,,,,
006730,16847,,,,,
178320,1707,,,,,
046890,17246,,,,,
SEER3,23047,,,,,
SERBADK,386126,,,,,
SRP,453012,,,,,
5388,76000,,,,,
SCI,68817,,,,,
SVC,57705,,,,,
SSM,133412,,,,,
NOW,75269,,,,,
SFBS,18624,,,,,
SESG,141714,,,,,
SES,2430,,,,,
3382,302900,,,,,
8410,229600,,,,,
VII,94531,,,,,
SVW,46852,,,,,
SWM,466784,,,,,
SVT,91360,,,,,
CHMF,69699,,,,,
002352,69598,,,,,
056190,7090,,,,,
036540,40560,,,,,
SFL,38345,,,,,
SFSN,6565,,,,,
SGF,27592,,,,,
9143,168400,,,,,
300661,5100,,,,,
000717,141400,,,,,
SGL,13210,,,,,
SGSN,2329,,,,,
601225,193300,,,,,
